"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna","","","","Connector_Coaxial:BNC_Amphenol_031-6575_Horizontal",""
"C1","1","60","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C2,C7,C8","3","10n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C3","1","470n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C4","1","22u/10V","","","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"C5","1","100u/16V","","","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm",""
"C6","1","100n","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"D1,D2","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","Si5351 Module","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"J2","1","OLED 128x64 I2C","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"L1","1","L1 22uH L2 100uH","","","","Inductor_THT:L_CommonMode_Wuerth_WE-CMB-L",""
"LS1","1","8Ω","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"R1","1","1","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"RV1","1","1k","","","","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal",""
"SW1","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Bourns_Horizontal_PEC09-2xxxF-Sxxxx",""
"U1","1","TDA2003","","","","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.st.com/resource/en/datasheet/cd00000123.pdf"
"U2","1","XIAO-RP2350-DIP","","","","Seeed Studio XIAO Series Library:XIAO-RP2350-DIP",""
